Fiscal Year;Program;Nama Kegiatan;startDate;endDate;Segmen;Quarter;Total Peserta;Durasi /Jam;Govt;nonGovt
2020;"GTP ";"Improving Productivity with Office 365 ";2020-06-30 00:00:00,000;"30/06/2020";"HigherEd";"Q4 ";"77 ";;;
2021;"AzureHigherEd";"Azure Fundamental for Higher Ed ";2020-09-15 00:00:00,000;"15/09/2020";"HigherEd";"Q1";"22";4;12;10
2021;"AzureHigherEd";"Designing Azure for Academic Infrastructure ";2020-09-22 00:00:00,000;"22/09/2020";"HigherEd";"Q1";"53";4;22;31
2021;"AzureHigherEd";"Designing Virtual Labs with Azure";2020-09-28 00:00:00,000;"28/09/2020";"HigherEd";"Q1";"31";4;18;13
2021;"GTP";"Creating A Virtual Classroom using Microsoft Teams ";2020-09-04 00:00:00,000;"04/09/2020";"HigherEd";"Q1";"96";3;96;0
2021;"GTP";"Creating Smart Classroom with Microsoft 365 ";2020-09-28 00:00:00,000;"28/09/2020";"HigherEd";"Q1";"39";6;39;0
2021;"AzureAI";"Batch 1 - Getting Started with AI on Azure";2020-11-30 00:00:00,000;"30/11/2020";"HigherEd";"Q2";"79";3;79;0
2021;"AzureAI";"Batch 1 - No-Code Machine Learning and Natural Language";2020-12-01 00:00:00,000;"01/12/2020";"HigherEd";"Q2";"56";3;56;0
2021;"AzureAI";"Batch 1 - Exploring Computer Vision and Conversational AI";2020-12-04 00:00:00,000;"04/12/2020";"HigherEd";"Q2";"39";3;39;0
2021;"AzureAI";"Batch 3 – Getting Started with AI on Azure ";2020-12-14 00:00:00,000;"14/12/2020";"HigherEd";"Q2";"87";3;87;0
2021;"AzureAI";"Batch 3 – No-Code Machine Learning and Natural Language Processing ";2020-12-15 00:00:00,000;"15/12/2020";"HigherEd";"Q2";"41";3;41;0
2021;"AzureAI";"Batch 3 – Exploring Computer Vision and Conversational AI ";2020-12-18 00:00:00,000;"18/12/2020";"HigherEd";"Q2";"23";3;23;0
2021;"GTP";"Improving Productivity in Higher Ed with Office 365 ";2020-10-05 00:00:00,000;"05/10/2020";"HigherEd";"Q2";"63";3;63;0
2021;"GTP";"Remote Learning Method During COVID-19 with Microsoft Teams ";2020-10-12 00:00:00,000;"12/10/2020";"HigherEd";"Q2";"47";3;47;0
2021;"GTP";"Microsoft Teams for Education Essentials ";2020-10-14 00:00:00,000;"14/10/2020";"HigherEd";"Q2";"9";3;9;0
2021;"GTP";"Microsoft Teams Education for Advanced ";2020-10-15 00:00:00,000;"15/10/2020";"HigherEd";"Q2";"9";3;9;0
2021;"GTP";"OneNote and Class Notebook for Higher Ed ";2020-10-19 00:00:00,000;"19/10/2020";"HigherEd";"Q2";"36";3;36;0
2021;"GTP";"Microsoft Teams for Education Essentials ";2020-11-12 00:00:00,000;"12/11/2020";"HigherEd";"Q2";"67";3;67;0
2021;"GTP";"Microsoft Teams for Education Advanced";2020-11-19 00:00:00,000;"19/11/2020";"HigherEd";"Q2";"55";3;55;0
2021;"GTP";"Microsoft Teams for Education Essentials";2020-11-24 00:00:00,000;"24/11/2020";"HigherEd";"Q2";"58";3;58;0
2021;"GTP";"Microsoft Teams for Education Advanced ";2020-11-25 00:00:00,000;"25/11/2020";"HigherEd";"Q2";"41";3;41;0
2021;"GTP";"Outcome Based Education Model Implementation with Microsoft 365 ";2020-11-26 00:00:00,000;"26/11/2020";"HigherEd";"Q2";"43";3;43;0
2021;"GTP";"Power BI Essentials";2020-12-02 00:00:00,000;"02/12/2020";"HigherEd";"Q2";"19";3;19;0
2021;"GTP";"Power BI Advanced ";2020-12-03 00:00:00,000;"03/12/2020";"HigherEd";"Q2";"16";3;16;0
